time,updated_at_ms,ce_close,pe_close,straddle_price
15:26:00,1774432596054,47.1,0.05,47.15
15:27:00,1774432621774,47.15,0.05,47.199999999999996
15:28:00,1774432681789,48.4,0.1,48.5
15:29:00,1774432742200,48.9,0.05,48.949999999999996
15:30:00,1774432801724,49.0,0.05,49.05
15:31:00,1774432862668,49.0,0.05,49.05
15:32:00,1774432922822,49.0,0.05,49.05
15:33:00,1774432983870,49.0,0.05,49.05
15:34:00,1774433044127,49.0,0.05,49.05
15:35:00,1774433101370,49.0,0.05,49.05
15:36:00,1774433162376,49.0,0.05,49.05
15:37:00,1774433222521,49.0,0.05,49.05
15:38:00,1774433282672,49.0,0.05,49.05
15:39:00,1774433342820,49.0,0.05,49.05
15:40:00,1774433402971,49.0,0.05,49.05
15:41:00,1774433463122,49.0,0.05,49.05
15:42:00,1774433523373,49.0,0.05,49.05
15:43:00,1774433581371,49.0,0.05,49.05
15:44:00,1774433641522,49.0,0.05,49.05
15:45:00,1774433701669,49.0,0.05,49.05
15:46:00,1774433761968,49.0,0.05,49.05
15:47:00,1774433822971,49.0,0.05,49.05
15:48:00,1774433883524,49.0,0.05,49.05
15:49:00,1774433941520,49.0,0.05,49.05
15:50:00,1774434002522,49.0,0.05,49.05
15:51:00,1774434062672,49.0,0.05,49.05
15:52:00,1774434122820,49.0,0.05,49.05
15:53:00,1774434182970,49.0,0.05,49.05
15:54:00,1774434243125,49.0,0.05,49.05
15:55:00,1774434303523,49.0,0.05,49.05
15:56:00,1774434361519,49.0,0.05,49.05
15:57:00,1774434422522,49.0,0.05,49.05
15:58:00,1774434482670,49.0,0.05,49.05
15:59:00,1774435263567,49.0,0.05,49.05
