time,updated_at_ms,ce_close,pe_close,straddle_price
15:26:00,1774432596056,335.0,337.1,672.1
15:27:00,1774432621777,335.0,337.1,672.1
15:28:00,1774432681792,340.0,337.1,677.1
15:29:00,1774432742203,345.95,338.3,684.25
15:30:00,1774432801744,343.0,338.3,681.3
15:31:00,1774432862671,343.0,338.3,681.3
15:32:00,1774432922825,343.0,338.3,681.3
15:33:00,1774432983873,343.0,338.3,681.3
15:34:00,1774433041118,343.0,338.3,681.3
15:35:00,1774433101374,343.0,338.3,681.3
15:36:00,1774433162381,343.0,338.3,681.3
15:37:00,1774433222525,343.0,338.3,681.3
15:38:00,1774433282676,343.0,338.3,681.3
15:39:00,1774433342823,343.0,338.3,681.3
15:40:00,1774433402975,343.0,338.3,681.3
15:41:00,1774433463126,343.0,338.3,681.3
15:42:00,1774433523376,343.0,338.3,681.3
15:43:00,1774433581375,343.0,338.3,681.3
15:44:00,1774433641525,343.0,338.3,681.3
15:45:00,1774433701674,343.0,338.3,681.3
15:46:00,1774433761971,343.0,338.3,681.3
15:47:00,1774433822975,343.0,338.3,681.3
15:48:00,1774433883528,343.0,338.3,681.3
15:49:00,1774433941525,343.0,338.3,681.3
15:50:00,1774434002527,343.0,338.3,681.3
15:51:00,1774434062676,343.0,338.3,681.3
15:52:00,1774434122823,343.0,338.3,681.3
15:53:00,1774434182974,343.0,338.3,681.3
15:54:00,1774434243129,343.0,338.3,681.3
15:55:00,1774434303526,343.0,338.3,681.3
15:56:00,1774434361522,343.0,338.3,681.3
15:57:00,1774434422525,343.0,338.3,681.3
15:58:00,1774434482674,343.0,338.3,681.3
15:59:00,1774434542824,343.0,338.3,681.3
16:00:00,1774435263570,343.0,338.3,681.3
