time,updated_at_ms,ce_close,pe_close,straddle_price
15:26:00,1774432596059,67.8,0.1,67.89999999999999
15:27:00,1774432621780,69.05,0.05,69.1
15:28:00,1774432681796,72.45,0.05,72.5
15:29:00,1774432742207,73.0,0.05,73.05
15:30:00,1774432801750,0.05,26.0,26.05
15:31:00,1774432862675,0.05,26.0,26.05
15:32:00,1774432922830,0.05,26.0,26.05
15:33:00,1774432983878,0.05,26.0,26.05
15:34:00,1774433044128,0.05,26.0,26.05
15:35:00,1774433101379,0.05,26.0,26.05
15:36:00,1774433162388,0.05,26.0,26.05
15:37:00,1774433222530,0.05,26.0,26.05
15:38:00,1774433282683,0.05,26.0,26.05
15:39:00,1774433342829,0.05,26.0,26.05
15:40:00,1774433402980,0.05,26.0,26.05
15:41:00,1774433463131,0.05,26.0,26.05
15:42:00,1774433523379,0.05,26.0,26.05
15:43:00,1774433581379,0.05,26.0,26.05
15:44:00,1774433641529,0.05,26.0,26.05
15:45:00,1774433701680,0.05,26.0,26.05
15:46:00,1774433761976,0.05,26.0,26.05
15:47:00,1774433822980,0.05,26.0,26.05
15:48:00,1774433883533,0.05,26.0,26.05
15:49:00,1774433941532,0.05,26.0,26.05
15:50:00,1774434002533,0.05,26.0,26.05
15:51:00,1774434062681,0.05,26.0,26.05
15:52:00,1774434122828,0.05,26.0,26.05
15:53:00,1774434182978,0.05,26.0,26.05
15:54:00,1774434243133,0.05,26.0,26.05
15:55:00,1774434303530,0.05,26.0,26.05
15:56:00,1774434361527,0.05,26.0,26.05
15:57:00,1774434422529,0.05,26.0,26.05
15:58:00,1774434482680,0.05,26.0,26.05
15:59:00,1774435263575,0.05,26.0,26.05
