time,updated_at_ms,ce_close,pe_close,straddle_price
15:26:00,1774432596056,706.6,693.75,1400.35
15:27:00,1774432621775,717.25,689.55,1406.8
15:28:00,1774432681790,724.05,680.3,1404.35
15:29:00,1774432742201,716.0,692.95,1408.95
15:30:00,1774432801735,730.35,690.25,1420.6
15:31:00,1774432862670,730.35,690.25,1420.6
15:32:00,1774432922823,730.35,690.25,1420.6
15:33:00,1774432983871,730.35,690.25,1420.6
15:34:00,1774433041117,730.35,690.25,1420.6
15:35:00,1774433101372,730.35,690.25,1420.6
15:36:00,1774433162379,730.35,690.25,1420.6
15:37:00,1774433222523,730.35,690.25,1420.6
15:38:00,1774433282674,730.35,690.25,1420.6
15:39:00,1774433342821,730.35,690.25,1420.6
15:40:00,1774433402973,730.35,690.25,1420.6
15:41:00,1774433463124,730.35,690.25,1420.6
15:42:00,1774433523375,730.35,690.25,1420.6
15:43:00,1774433581373,730.35,690.25,1420.6
15:44:00,1774433641523,730.35,690.25,1420.6
15:45:00,1774433701671,730.35,690.25,1420.6
15:46:00,1774433761969,730.35,690.25,1420.6
15:47:00,1774433822973,730.35,690.25,1420.6
15:48:00,1774433883526,730.35,690.25,1420.6
15:49:00,1774433941523,730.35,690.25,1420.6
15:50:00,1774434002525,730.35,690.25,1420.6
15:51:00,1774434062674,730.35,690.25,1420.6
15:52:00,1774434122822,730.35,690.25,1420.6
15:53:00,1774434182972,730.35,690.25,1420.6
15:54:00,1774434243127,730.35,690.25,1420.6
15:55:00,1774434303525,730.35,690.25,1420.6
15:56:00,1774434361521,730.35,690.25,1420.6
15:57:00,1774434422524,730.35,690.25,1420.6
15:58:00,1774434482672,730.35,690.25,1420.6
15:59:00,1774434542822,730.35,690.25,1420.6
16:00:00,1774435263569,730.35,690.25,1420.6
