time,updated_at_ms,ce_close,pe_close,straddle_price
15:26:00,1774432596058,269.3,275.85,545.1500000000001
15:27:00,1774432621779,272.2,273.45,545.65
15:28:00,1774432681795,272.45,270.9,543.3499999999999
15:29:00,1774432742206,279.25,269.7,548.95
15:30:00,1774432801748,284.55,268.5,553.05
15:31:00,1774432862674,284.55,268.5,553.05
15:32:00,1774432922829,284.55,268.5,553.05
15:33:00,1774432983876,284.55,268.5,553.05
15:34:00,1774433041122,284.55,268.5,553.05
15:35:00,1774433101377,284.55,268.5,553.05
15:36:00,1774433162386,284.55,268.5,553.05
15:37:00,1774433222528,284.55,268.5,553.05
15:38:00,1774433282680,284.55,268.5,553.05
15:39:00,1774433342826,284.55,268.5,553.05
15:40:00,1774433402978,284.55,268.5,553.05
15:41:00,1774433463129,284.55,268.5,553.05
15:42:00,1774433520216,284.55,268.5,553.05
15:43:00,1774433581377,284.55,268.5,553.05
15:44:00,1774433641528,284.55,268.5,553.05
15:45:00,1774433701678,284.55,268.5,553.05
15:46:00,1774433761974,284.55,268.5,553.05
15:47:00,1774433822978,284.55,268.5,553.05
15:48:00,1774433883532,284.55,268.5,553.05
15:49:00,1774433941529,284.55,268.5,553.05
15:50:00,1774434002531,284.55,268.5,553.05
15:51:00,1774434062680,284.55,268.5,553.05
15:52:00,1774434122826,284.55,268.5,553.05
15:53:00,1774434182977,284.55,268.5,553.05
15:54:00,1774434243132,284.55,268.5,553.05
15:55:00,1774434300216,284.55,268.5,553.05
15:56:00,1774434361525,284.55,268.5,553.05
15:57:00,1774434422528,284.55,268.5,553.05
15:58:00,1774434482678,284.55,268.5,553.05
15:59:00,1774434542827,284.55,268.5,553.05
16:00:00,1774435263573,284.55,268.5,553.05
